timestamp_s,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,avg_runq_latency_ns,max_runq_latency_ns,minor_faults,kernel_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,label
1774161156.348,96819,10,kworker/u64:4,14,14,0,0,609199,13189,37210,0,0,7,14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1973,0,0,0,cpu_bound
1774161156.348,36500,11,TaskCon~ller #2,2,2,0,0,34966,2730,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,1485,9,gdbus,16,16,0,0,926725,13853,171251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82653,14,code,1,1,0,0,165670,2805,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,35295,5,IPC I/O Child,161,160,1,0,4138020,3253,18445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,96353,11,Web Content,3,3,0,0,136555,3309,4228,0,0,2,2,1024,0,0,39,78167133,1000072068,6,7,6,7,0,18,112902614,0,0,8,4,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102118,2,docker,5,5,0,0,1632695,5845,9699,214,0,0,1,0,0,0,11,14323,46737,0,0,0,0,2,9,14701,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82566,7,ThreadPoolForeg,14,14,0,0,423172,72887,891228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102028,12,docker,2,2,0,0,367737,3592,4759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,7849,9,Socket Thread,14,14,0,0,415955,2929,8817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,79,5,ksoftirqd/5,7,7,0,0,66974,11212,41358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
